2017-04-22 01:21:08.640 [main] INFO  jira.Dashboard.ExecuteReportGeneration - Starting work on: Jira Board Snapshot
2017-04-22 01:21:08.663 [main] INFO  jira.Dashboard.Reporting.tools.JiraBoardSnapshot - Completed copying 'current week data' to 'previous week data'
2017-04-22 01:21:08.663 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status = "New ticket" AND updated >= -7d
2017-04-22 01:21:11.370 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status in (Open, Reopened) AND updated >= -7d
2017-04-22 01:21:11.807 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status = "In Progress" AND updated >= -7d
2017-04-22 01:21:12.131 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status = "Request for input" AND updated >= -7d
2017-04-22 01:21:12.622 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status = Blocked AND updated >= -7d
2017-04-22 01:21:12.954 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status = Review AND updated>= -7d
2017-04-22 01:21:13.324 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status = "Ready for Build" AND updated >= -7d
2017-04-22 01:21:13.682 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status = "Pragiti QA" AND updated >= -7d
2017-04-22 01:21:14.073 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status = "Customer QA" AND updated >= -7d
2017-04-22 01:21:14.489 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Story AND status = Resolved AND updated >= -7d
2017-04-22 01:21:14.911 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Bug AND status = "New ticket" AND updated >= -7d
2017-04-22 01:21:15.259 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Bug AND status in (Open, Reopened) AND updated >= -7d
2017-04-22 01:21:15.643 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Bug AND status = "In Progress" AND updated >= -7d
2017-04-22 01:21:16.013 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Bug AND status = "Request for input" AND updated >= -7d
2017-04-22 01:21:16.376 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Bug AND status = Blocked AND updated >= -7d
2017-04-22 01:21:16.729 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Bug AND status = Review AND updated>= -7d
2017-04-22 01:21:17.146 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Bug AND status = "Ready for Build" AND updated >= -7d
2017-04-22 01:21:17.515 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Bug AND status = "Pragiti QA" AND updated >= -7d
2017-04-22 01:21:17.878 [main] INFO  jira.Dashboard.Reporting.tools.AbsoluteTableUpdate - Working on : project in (MJB2CG, MJB2BG, ZLB2CG) AND issuetype = Bug AND status = "Customer QA" AND updated >= -7d
